City,Latitude,Longitude
Blodgett,-123.5195493,44.5970639
Bloomfield,-122.8511046,38.313805
Bloomington,-117.3958797,34.07029
Blue Canyon,-120.711046,39.2571225
Blue Diamond,-115.4038924,36.0463595
Blue Jay,-117.2097638,34.2461175
Blue Lake,-123.9839488,40.8829072
Blue River,-122.3411742,44.1545703
Bluewater,-114.2713396,34.1744603
Bly,-121.0416541,42.3976509
Blyn,-123.0060075,48.022313
Blythe,-114.5963456,33.6103022
Boardman,-119.7005834,45.839855
Bodega,-122.9738878,38.345194
Bodega Bay,-123.0480571,38.33325
Bodfish,-118.4920303,35.588009
Boise,-122.0156674,47.1803795
Boistfort,-123.1337445,46.5351036
Bolinas,-122.6863733,37.9093702
Bombay Beach,-115.7297152,33.3508667
Bonanza,-121.4061076,42.1987607
Bonita,-117.0300269,32.6578318
Bonney Lake,-122.1865056,47.1770457
Bonny Doon,-122.1505224,37.0416156
Bonsall,-117.2255903,33.2889226
Boonville,-123.3661194,39.0090663
Bootjack,-119.8865571,37.4649385
Boring,-122.3748112,45.4298429
Boron,-117.6497822,34.9994202
Borrego Springs,-116.375012,33.2558717
Boston Harbor,-122.9009743,47.1384293
Bostonia,-116.9364153,32.8075509
Bothell,-122.2054035,47.7623204
Boulder City,-114.8324851,35.9785912
Boulder Creek,-122.1221869,37.1260578
Boulevard,-116.273629,32.6636712
Bow,-122.3982194,48.5617742
Bowles,-119.7509723,36.6041167
Boyds,-118.1327718,48.7137914
Boyes Hot Springs,-122.4819253,38.3138029
Bradbury,-117.9708982,34.1469511
Bradley,-120.8007321,35.8632993
Brady,-123.5118286,46.995929
Brawley,-115.530267,32.9786566
Bray,-121.9708384,41.6440414
Brea,-117.9000604,33.9166805
Breidablick,-122.6493178,47.8020382
Bremerton,-122.6326391,47.5673176
Brentwood,-121.6957863,37.931868
Brevig Mission,-166.4891667,65.3347222
Brewster,-119.7806166,48.0959784
Briceland,-123.900031,40.1079215
Bridge,-124.0070412,43.0239994
Bridgeport,-119.2312656,38.2557527
Brier,-122.2742948,47.7845419
Brightwood,-122.0167482,45.3762302
Brinnon,-122.8982142,47.679259
Brisbane,-122.3400151,37.6897178
Broad Pass (historical),-149.2666667,63.2333333
Broadbent,-124.1464913,43.0089985
Broadmoor,-122.4827509,37.6866
Brogan,-117.517134,44.2462699
Brookdale,-122.1060755,37.1063361
Brookings,-124.2839819,42.0526114
Brooklyn,-123.5098812,46.776211
Brooks,-122.9584291,45.048175
Brothers,-120.6033306,43.8137417
Brownlee,-116.9343328,44.8115478
Brownsville,-122.9848108,44.3934571
Brush Prairie,-122.5464856,45.7328944
Bryant,-122.1579229,48.23899
Bryn Mawr,-122.2329,47.5034329
Bryn Mawr-Skyway,-122.2414215,47.4947298
Buck Meadows,-120.0643518,37.8127044
Buckhorn,-120.52854,38.452158
Buckland,-161.1230556,65.9797222
Buckley,-122.0267787,47.1631573
Bucoda,-122.8698523,46.7989899
Buellton,-120.1926505,34.613597
Buena,-120.3133898,46.4287397
Buena Park,-117.9981181,33.8675143
Buena Vista,-120.9132726,38.2943599
Bunker Hill,-124.2048339,43.3559451
Bunkerville,-114.1280249,36.7730306
Burbank,-119.0130618,46.1998568
Burien,-122.3467918,47.4703768
Burley,-122.6309669,47.417874
Burlingame,-122.3660825,37.5841026
Burlington,-122.3254375,48.4756621
Burney,-121.6608205,40.8823811
Burns,-119.0541032,43.5862607
Burnt Ranch,-123.4742085,40.8090268
Burrel,-119.9851457,36.4882821
Burton,-122.4606824,47.3889874
Butte,-149.0333333,61.5422222
Butte Falls,-122.5655886,42.5431843
Butte Meadows,-121.5510858,40.0812707
Butteville,-122.8403743,45.2623415
Buttonwillow,-119.4695619,35.400517
Byron,-121.6380069,37.8671477
Cabazon,-116.7872399,33.9175154
Cadiz,-115.5127662,34.5199973
Cajon Junction,-117.4747722,34.3116702
Cal-Nev-Ari,-114.8835866,35.3055496
Calabasas,-118.6384203,34.1577833
Calavo Gardens,-116.9611375,32.7628296
Calexico,-115.4988834,32.6789476
Caliente,-114.5119378,37.6149648
California City,-117.9859038,35.125801
California Hot Springs,-118.664435,35.881329
California Pines,-120.6791267,41.4098922
Calimesa,-117.0619755,34.0039039
Calipatria,-115.5141538,33.1255957
Calistoga,-122.5797054,38.5787966
Callahan,-122.8014177,41.3095885
Calpella,-123.2038939,39.2335015
Calpine,-120.4396558,39.6662911
Calwa,-119.7584755,36.7105053
Camanche North Shore,-120.9539155,38.2442184
Camanche Village,-120.9732743,38.2699164
Camarillo,-119.0376023,34.2163937
Camas,-122.3995363,45.5870631
Camas Valley,-123.6739697,43.0342815
Cambria,-121.0807468,35.5641381
Cambrian Park,-121.930789,37.2568879
Camden,-119.7979143,36.431061
Camino,-120.6749302,38.7382366
Camp Nelson,-118.6092561,36.1427237
Camp Sherman,-121.641165,44.4603944
Campbell,-121.9499568,37.2871651
Campo,-116.4689053,32.6064494
Camptonville,-121.0485656,39.4518363
Canby,-120.8702442,41.4437793
Candle,-161.9244444,65.9133333
Cannon Beach,-123.9615274,45.8917738
Cantil,-117.9684031,35.3088502
Cantua Creek,-120.3162666,36.50134
Cantwell,-148.9508333,63.3916667
Canyon,-122.1877447,37.8315934
Canyon City,-118.9502315,44.3895995
Canyon Lake,-117.2730931,33.6850215
Canyon Park,-122.1926267,47.7909313
Canyondam,-121.0727378,40.1718324
Canyonville,-123.2811748,42.9273406
Cape Pole,-133.7933333,55.965
Cape Yakataga,-142.4308333,60.0663889
Capistrano Beach,-117.6717175,33.4625277
Capitola,-121.953293,36.9752283
Captain Cook,-155.9216667,19.4969444
Carbonado,-122.0515005,47.0798248
Cardiff-by-the-Sea,-117.2811482,33.0217096
Caribou,-121.1577397,40.0804428
Carlin,-116.1039663,40.7138067
Carlisle,-124.0985091,47.1548085
Carlsbad,-117.3505939,33.1580933
Carlsborg,-123.1721233,48.0906477
Carlton,-123.1764949,45.2942822
Carmel Valley,-121.7324476,36.4796839
Carmel-by-the-Sea,-121.9232879,36.5552387
Carmet,-123.0763912,38.3743603
Carmichael,-121.3282843,38.617127
Carnation,-121.9140073,47.6478787
Carnelian Bay,-120.0818587,39.2268512
Carp,-114.4927666,37.1119149
Carpenterville,-124.339546,42.2201106
Carpinteria,-119.5184564,34.3988838
Carrolls,-122.8623306,46.0715022
Carson,-118.2820165,33.8314058
Carson City,-119.7674034,39.1637984
Cartago,-118.0264725,36.3207709
Caruthers,-119.8331965,36.5427271
Casa Conejo,-118.9434316,34.1836165
Casa de Oro,-116.98086,32.7489409
Cascade Locks,-121.8906354,45.6698392
Cascadia,-122.481748,44.3973477
Caselton,-114.4852707,37.9191297
Cashmere,-120.4698024,47.5223465
Casitas Springs,-119.3065023,34.3713862
Casmalia,-120.5312785,34.8380355
Caspar,-123.8158488,39.3635049
Cassel,-121.5477609,40.9190499
Castaic,-118.6228656,34.4888822
Castella,-122.3177877,41.1384854
Castle Park,-117.0675278,32.6103329
Castle Rock,-122.9076141,46.2751111
Castro Valley,-122.0863522,37.6940973
Castroville,-121.758005,36.7657904
Cathcart,-122.099294,47.847876
Cathedral City,-116.4652911,33.7797426
Catheys Valley,-120.0979551,37.4324391
Cathlamet,-123.3831834,46.2031656
Cavalero Corner,-122.1348549,47.9781523
Cave Junction,-123.6481235,42.1628912
Cayucos,-120.8921254,35.4427512
Cayuse,-118.566121,45.676427
Cazadero,-123.08528,38.533246
Cecil,-119.9589226,45.6179092
Cecilville,-123.1400409,41.1409709
Cedar Falls,-121.7767759,47.4253806
Cedar Glen,-117.1647628,34.2538951
Cedar Grove,-118.6703779,36.7907744
Cedar Mountain,-122.0731737,47.4481565
Cedar Ridge,-120.2768576,38.0657558
Cedar Slope,-118.5784223,36.1452233
Cedarhurst,-122.4792959,47.4820424
Cedarpines Park,-117.3258786,34.2500062
Cedarville,-120.1732781,41.5290606
Cedonia,-118.1691528,48.1537774
Centerville,-120.9047882,45.7531787
Central,-144.8030556,65.5725
Central Park,-123.6923862,46.973428
Central Point,-122.9164307,42.3759586
Central Valley,-122.6498672,47.6631504
Centralia,-122.9542972,46.7162136
